,Ixx,Iyx,Iyy,Izx,Izy,Izz
0,-1.8242958369008757e-30,-1.2066016546366665e-30,1.853424882743516e-29,2.614700753982604e-41,-3.66584305215435e-41,5.501235959811981e-29
1,7.18087171046301e-26,4.814336144730109e-26,-8.086985497910747e-25,-1.028282492724258e-36,1.5195550774360295e-36,-2.3334382723839474e-24
2,-1.2023668549395276e-21,-8.29441505895432e-22,1.5259758492703095e-20,1.7061222616075863e-32,-2.6889466665064645e-32,4.259558322557183e-20
3,1.1201160915652608e-17,8.044530166936637e-18,-1.62939851628962e-16,-1.5478154845335383e-28,2.6505664844372757e-28,-4.378829491023159e-16
4,-6.384489143874481e-14,-4.762777672460148e-14,1.080426086449665e-12,8.27454311921587e-25,-1.5926504838403088e-24,2.7849741985791586e-12
5,2.312311066726632e-10,1.7226705666521516e-10,-4.58695714692719e-09,-2.574894658100499e-21,6.0000658164238176e-21,-1.1334419320621691e-08
6,-5.373820810773319e-07,-3.4916214391181983e-07,1.2374124945846548e-05,3.999338477505902e-18,-1.4053117960070232e-17,2.9503414295516054e-05
7,0.0007952119920515134,0.00027134874326033694,-0.020294342788262466,-3.0253306126072185e-16,1.963369487717886e-14,-0.04767744671514671
8,-0.7316429141384888,0.22103045676912036,18.583416526721706,-8.630215365614708e-12,-1.5037457804627636e-11,44.917536779099
9,397.37095624237605,21.7876807230436,-16170.084380714703,1.1335005251041508e-08,5.4096984301419e-09,-29781.102408486215
10,2140564.838955235,-18059287.716277763,163183144.23106498,-3.135695769547887e-06,-7.128885976670212e-07,167912177.04538408
11,-1584293.642918669,-6530163.816086626,15665581.332344534,9.93997239832987e-05,1.4669109670305602e-05,-59776548.93288778
