,Ixx,Iyx,Iyy,Izx,Izy,Izz
0,-2.81914705032229e-27,-2.0612194174146753e-26,-2.7177478777293316e-25,2.510771572293163e-37,0.0,7.71590595613347e-26
1,5.362455604027348e-23,3.7380644247953115e-22,5.096783520125924e-21,-4.4915691027044896e-33,0.0,-1.3805242765371684e-21
2,-4.37696620484226e-19,-2.8819057591341996e-18,-4.07783017871798e-17,3.386322127636612e-29,0.0,1.0359924543439782e-17
3,2.0055541129884903e-15,1.2323685661976872e-14,1.8166394732525253e-13,-1.395426885430385e-25,0.0,-4.218237255048472e-14
4,-5.669669125181172e-12,-3.1984910864270764e-11,-4.933392616878833e-10,3.4003887536835246e-22,0.0,1.0041981380092354e-10
5,1.0248877548217205e-08,5.180744031933004e-08,8.406686885055348e-07,-4.922225571436944e-19,0.0,-1.3942654302182447e-07
6,-1.1913463175492735e-05,-5.182470789565837e-05,-0.0008922889783277283,3.961063957300263e-16,0.0,0.00010415226647061793
7,0.008781156102536752,0.03043130835833582,0.5665956345608267,-1.396461390734523e-13,0.0,-0.031883472100044406
8,-3.9850937742028174,-9.251706072193937,-197.38381090244414,-4.094913335168061e-12,0.0,0.3719298367349611
9,1059.7854309136724,291.2115686872241,14704.845006059164,9.84935588992122e-09,0.0,-18526.281157338573
10,2104433.2526674657,25007067.999515686,303725688.15085465,-1.2141778162780292e-06,0.0,308213911.8957212
11,-431263.9444325416,780794.4526148806,65315767.02237148,2.5413400495035e-05,0.0,31653259.73306092
