,Ixx,Iyx,Iyy,Izx,Izy,Izz
0,-2.8191469818927223e-27,2.0612191987192896e-26,-2.7177478777293316e-25,3.437362317194725e-38,3.6418164218125543e-38,7.71590595613347e-26
1,5.362455468856619e-23,-3.7380639971133525e-22,5.096783520125924e-21,-3.2885363194803515e-34,-6.30250637726948e-34,-1.3805242765371684e-21
2,-4.376966089424811e-19,2.8819053983639903e-18,-4.07783017871798e-17,-5.216525964236125e-31,4.6299633057708666e-30,1.0359924543439782e-17
3,2.0055540571704097e-15,-1.2323683942956959e-14,1.8166394732525253e-13,2.04339628792761e-26,-1.886640799393652e-26,-4.218237255048472e-14
4,-5.669668956905104e-12,3.198490577604953e-11,-4.933392616878833e-10,-1.2164113510195158e-22,4.675910154880835e-23,1.0041981380092354e-10
5,1.02488772203357e-08,-5.1807430628766996e-08,8.406686885055348e-07,3.671598022366323e-19,-7.26790479916628e-20,-1.3942654302182447e-07
6,-1.191346276148057e-05,5.182469600424033e-05,-0.0008922889783277283,-6.46507625862644e-16,7.04178117660819e-17,0.00010415226647061793
7,0.008781155772438974,-0.030431299209250584,0.5665956345608267,6.771683413707704e-13,-4.084852127924622e-14,-0.031883472100044406
8,-3.9850936180749317,9.25170192662543,-197.38381090244414,-4.0381892834486143e-10,1.3011598043334245e-11,0.3719298367349611
9,1059.7853924399221,-291.21058988418986,14704.845006059164,1.2172281337069076e-07,-1.9331297254250404e-09,-18526.281157338573
10,2104433.2562532527,-25007068.09234425,303725688.15085465,-1.2211057826555187e-05,1.0388669451044529e-07,308213911.8957212
11,-431263.9517253456,-780792.8307972078,65315767.02237148,0.00023837686590895844,-1.3210886333081865e-06,31653259.73306092
