,Ixx,Iyx,Iyy,Izx,Izy,Izz
0,-1.8242958369008757e-30,-4.8026648742789386e-30,1.853424896372882e-29,-3.144877537004558e-41,-3.66584305215435e-41,5.501235971241464e-29
1,7.18087171046301e-26,1.8067620888196005e-25,-8.086985558178871e-25,1.3359832796261656e-36,1.5195550774360295e-36,-2.3334382774394727e-24
2,-1.2023668549395276e-21,-2.8667956482015315e-21,1.525975860827566e-20,-2.433861169378861e-32,-2.6889466665064645e-32,4.2595583322552416e-20
3,1.1201160915652608e-17,2.5049538111974398e-17,-1.629398528893714e-16,2.479616003663869e-28,2.6505664844372757e-28,-4.3788295016040554e-16
4,-6.384489143874481e-14,-1.3243274387559094e-13,1.0804260950637284e-12,-1.5418285240484022e-24,-1.5926504838403088e-24,2.7849742058141257e-12
5,2.312311066726632e-10,4.41475165615702e-10,-4.586957185246475e-09,5.970237509275641e-21,6.0000658164238176e-21,-1.1334419352825788e-08
6,-5.373820810773319e-07,-9.531567999397739e-07,1.2374125057410396e-05,-1.3947797580572403e-17,-1.4053117960070232e-17,2.9503414389346878e-05
7,0.0007952119920515134,0.0013804895556683745,-0.020294342996449447,1.748761020661046e-14,1.963369487717886e-14,-0.047677446890410244
8,-0.7316429141384888,-1.3689029047872088,18.58341676316769,-7.257603646783996e-12,-1.5037457804627636e-11,44.91753697840373
9,397.37095624237605,348.3034128709283,-16170.084528547952,-4.6238740598307414e-09,5.4096984301419e-09,-29781.10253332046
10,2140564.838955235,18017427.58217476,163183144.2728911,2.1035379860070547e-06,-7.128885976670212e-07,167912177.08080754
11,-1584293.642918669,7205767.093229085,15665577.706568299,-7.461561446615799e-05,1.4669109670305602e-05,-59776552.022641435
