,Ixx,Iyx,Iyy,Izx,Izy,Izz
0,-5.14140163965466e-28,-1.8121338281889718e-34,-2.7177478777293316e-25,-2.1070733231285e-37,0.0,-2.7177478777293316e-25
1,1.0567894897700419e-23,3.547571486763756e-30,5.096783520125924e-21,4.071745204463344e-33,0.0,5.096783520125924e-21
2,-9.459958558565834e-20,-2.9903803496358443e-26,-4.07783017871798e-17,-3.3735274818708237e-29,0.0,-4.07783017871798e-17
3,4.841517088403683e-16,1.4198926385970993e-22,1.8166394732525253e-13,1.5646531768804704e-25,0.0,1.8166394732525253e-13
4,-1.5633376514618512e-12,-4.1707462900810066e-19,-4.933392616878833e-10,-4.447274576882317e-22,0.0,-4.933392616878833e-10
5,3.315108450959443e-09,7.836224172121763e-16,8.406686885055348e-07,7.966597868654307e-19,0.0,8.406686885055348e-07
6,-4.657127918940249e-06,-9.414661468780687e-13,-0.0008922889783277283,-8.90592513489439e-16,0.0,-0.0008922889783277283
7,0.004267943310545433,7.038980147282048e-10,0.5665956345608267,5.942374223338816e-13,0.0,0.5665956345608267
8,-2.4478183640824493,-3.0981033487656135e-07,-197.38381090244414,-2.169822599323591e-10,0.0,-197.38381090244414
9,812.4366381687391,7.269647386377875e-05,14704.845006059164,3.7299417644198175e-08,0.0,14704.845006059164
10,74555.1118602594,-0.007287328007250819,303725688.15085465,-2.432811893413265e-06,0.0,303725688.15085465
11,-651598.8218916528,-0.05520606747283956,65315767.02237148,3.785647036574566e-05,0.0,65315767.02237148
