,Ixx,Iyx,Iyy,Izx,Izy,Izz
0,-2.8297130323229638e-18,-7.53053644373831e-21,1.2472527802912007e-18,-1.2825443374602728e-20,-2.787599104775118e-23,1.2428666178631061e-18
1,1.453487878991184e-14,4.2731847615388614e-17,-9.476854701411923e-15,5.869143083574138e-17,4.378728670518124e-19,-9.45619923988098e-15
2,-3.2411542564208004e-11,-1.032433359679911e-13,2.7983938472384978e-11,-1.1289596362150905e-13,-1.6316005642832331e-15,2.7942825010854434e-11
3,4.111156170103488e-08,1.387506920347126e-10,-4.3933068357720035e-08,1.1884722438738422e-10,2.845285194199114e-12,-4.3887955251365396e-08
4,-3.262452263918711e-05,-1.1352535277235983e-07,4.110395242417228e-05,-7.461046175069142e-08,-2.7777457364052644e-09,4.107413548716559e-05
5,0.01675892058631374,5.803453876749792e-05,-0.023929554680341015,2.8496739526425252e-05,1.6122967812305269e-06,-0.023917390996830254
6,-5.558357298430642,-0.018219889807241662,8.949027615185729,-0.006459607838864248,-0.0005561621553186431,8.946017543524652
7,1144.5009402488306,3.2804971246608257,-5383.662489673245,0.8057724563212271,0.10747116645970996,-5383.238315376067
8,18880.50538597222,-285.281390914586,15440320.526607998,-47.28340273071376,-9.850369198023465,15440291.04178108
9,363376.5692692055,6907.304724805644,4429952.941995193,978.0709425229372,246.98692249127066,4430650.444576231
